"Headline","Lang","Manual_Label","label","score","time_s","label_mismatch"
"Komax Gruppe nimmt Neuausrichtung vor ","de","management changes","management changes","0.911","0.557","False"
"Komax Group undertakes realignment ","en","management changes","management changes","0.815","0.585","False"
"Lonza Group Ltd. - Annual General Meeting Document (2026 AGM Invitation   DE)","de (Headline en)","general meeting","general meeting","0.996","0.723","False"
"Intershop Holding AG - Annual General Meeting of Intershop Holding AG   approves all proposals of the Board of Directors","en","general meeting","general meeting","0.9919","0.786","False"
"Generalversammlung 2026: Aktionäre genehmigen sämtliche Anträge ","de","general meeting","general meeting","0.9773","0.718","False"
"Lonza Nominates Stephen Fry as Independent Board Member ","en","management changes","other","0.0014","1.692","True"
"SoftwareOne erzielt grosse Fortschritte im Übergangsjahr 2025 ","de","financial results","financial results","0.0086","2.117","False"
"BioVersys strengthens Ansamycin platform and NTM research through   collaboration and license agreement with Hackensack Meridian Health","en","collaborations and partnerships","medical research","0.8335","2.044","True"
"MindMaze Therapeutics and Vibra Healthcare Announce Breakthrough RWE   Results in High-Dose, High-Intensity Neurorehabilitation","en","medical research","medical research","0.9758","0.901","False"
"Sonova partners with Singapore Economic Development Board to   accelerate innovation and profitable growth across APAC","en","collaborations and partnerships","financial results","0.7978","1.945","True"
"Adval Tech Holding AG - Geschäftsbericht 2025 ","de","financial results","financial results","0.9412","0.665","False"
"Jungfraubahn Holding AG - Ad hoc announcement pursuant to Art. 53 LR:   Jungfrau Railway Group looks back on a successful year","en","financial results","financial results","0.9008","0.989","False"
"VAT Group AG - Very strong order intake in the first quarter as conflict   delayed revenue recognition","en","financial results","financial results","0.9998","0.744","False"
"DORMAKABA Holding AG - dormakaba sichert sich Aufträge und stärkt   Position im Gesundheitswesen","de","new orders","new orders and contract wins","0.9591","0.892","True"
"Camila Japur joins Tecan as Chief Financial Officer ","en","management changes","management changes","0.9665","0.647","False"
"Idorsia’s daridorexant delivers outstanding results in a Phase 2   study in children with insomnia disorder","en","medical research","medical research","0.9977","0.89","False"
"Novartis IgAN data in New England Journal of Medicine show Fabhalta®   slowed kidney function decline by 49.3%","en","medical research","medical research","0.9452","0.938","False"
"AAD 2026: Late-Breaking Nemolizumab Data Demonstrate   Clinically Meaningful Benefits for Children Aged 2 to 11 With Moderate-to-Severe Atopic Dermatitis","en","medical research","medical research","0.997","1.02","False"
"Edisun Power Europe AG: Herausforderndes Jahresergebnis unterstreicht   Notwendigkeit der neuen “Renewables to AI’- Strategie ","de","financial results","other","0.0015","2.674","True"
"disun Power Europe AG: Demanding year reinforces the urgency of   advancing the ‘Renewables to AI’ strategy","en","financial results","financial results","0.0039","2.15","False"
" Novartis AG - Novartis agrees to acquire Excellergy, Inc., building on   allergy leadership with next-generation anti-IgE innovation","en","mergers and acquisitions","mergers and acquisitions","0.9996","0.937","False"
"Fewer orders and lower sales - US tariffs, currency effects and cost   pressure weigh on earnings","en","financial results","financial results","0.9993","0.833","False"
"BKW AG - Change in the BKW Executive Committee* ","en","management changes","management changes","0.9341","0.642","False"
"Generalversammlung 2026: Tecan beantragt Wahl von drei neuen   Mitgliedern des Verwaltungsrats und eines neuen Präsidenten","de","management changes","general meeting","0.9917","0.921","True"
"SKAN mit gutem Auftragseingang im Geschäftsjahr 2025 ","de","financial results","financial results","0.9595","0.725","False"
"SKAN with good order intake in the 2025 financial year ","en","financial results","financial results","0.9958","0.622","False"
"Sonova presents renewed strategy to expand market leadership with   ambition to reach CHF 6 billion in revenue by FY 2030/31","en","strategy update","financial results","0.7103","0.913","True"
"Galderma Receives U.S. FDA Approval for Restylane® Contour™   for the Correction of Temple Hollowing","en","regulatory product approval","regulatory product approval","0.9983","0.844","False"
"Novartis agrees to acquire a pan-mutant-selective PI3Ka   inhibitor, strengthening its breast cancer pipeline","en","mergers and acquisitions","medical research","0.9795","0.762","True"
"Implenia AG - Implenia wins several building construction contracts in   Switzerland and Germany","en","new orders","financial results","0.9764","0.722","True"
"Implenia AG - Implenia gewinnt zahlreiche Hochbau-Aufträge in der Schweiz   und in Deutschland","de","new orders","new orders and contract wins","0.9841","0.846","True"
"Galderma Group AG - Galderma publishes invitation and agenda for its 2026   Annual General Meeting","en","general meeting","general meeting","0.993","0.788","False"
"Clariant AG - Clariant expands pharmaceutical-grade PEG manufacturing   into…","en","other","other","0.0005","1.883","False"
"Swisscom AG - Fastweb + Vodafone und TIM lancieren strategisches Projekt   für die Erstellung von Mobilfunkstandorten, um den 5G-Ausbau in Italien zu beschleunigen","de","collaborations and partnerships","other","0.0011","3.335","True"
"PolyPeptide Group AG - PolyPeptide strengthens financing structure   through expansion of existing credit facility","en","funding","funding","0.9819","0.773","False"
"DocMorris AG - DocMorris and Google partner to advance one of Europe’s   leading AI-powered digital health platform","en","collaborations and partnerships","other","0.001","2.408","True"
"ALSO Holding AG - ALSO: Fourteenth consecutive dividend increase approved  ","en","general meeting","financial results","0.996","0.595","True"
"Molecular Partners Presents New Preclinical Data Highlighting Radio-   DARPins’ Amenability to Multiple Isotopes","en","medical research","other","0.0006","2.088","True"
